id	question	question_concept	choices	answerKey
075e483d21c29a511267ef62bedc0461	The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?	punishing	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ignore', 'enforce', 'authoritarian', 'yell at', 'avoid'],
      dtype=object)}"	A
61fe6e879ff18686d7552425a36344c8	Sammy wanted to go to where the people were.  Where might he go?	people	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['race track', 'populated areas', 'the desert', 'apartment',
       'roadblock'], dtype=object)}"	B
4c1cb0e95b99f72d55c068ba0255c54d	To locate a choker not located in a jewelry box or boutique where would you go?	choker	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['jewelry store', 'neck', 'jewlery box', 'jewelry box', 'boutique'],
      dtype=object)}"	A
02e821a3e53cb320790950aab4489e85	Google Maps and other highway and street GPS services have replaced what?	highway	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['united states', 'mexico', 'countryside', 'atlas', 'oceans'],
      dtype=object)}"	D
23505889b94e880c3e89cff4ba119860	The fox walked from the city into the forest, what was it looking for?	fox	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pretty flowers.', 'hen house', 'natural habitat', 'storybook',
       'dense forest'], dtype=object)}"	C
e8a8b3a2061aa0e6d7c6b522e9612824	What home entertainment equipment requires cable?	cable	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['radio shack', 'substation', 'cabinet', 'television', 'desk'],
      dtype=object)}"	D
09555c056f3cf0b7e0b84d8df4be1db7	The only baggage the woman checked was a drawstring bag, where was she heading with it?	drawstring bag	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['garbage can', 'military', 'jewelry store', 'safe', 'airport'],
      dtype=object)}"	E
3d0f8824ea83ddcc9ab03055658b89d3	The forgotten leftovers had gotten quite old, he found it covered in mold in the back of his what?	mold	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['carpet', 'refrigerator', 'breadbox', 'fridge', 'coach'],
      dtype=object)}"	B
86c59f14af97b33ec13edc6ec4389e31	What do people use to absorb extra ink from a fountain pen?	fountain pen	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['shirt pocket', ""calligrapher's hand"", 'inkwell', 'desk drawer',
       'blotter'], dtype=object)}"	E
cae61908c731d4a20889e04c3e784ebe	Where is a business restaurant likely to be located?	restaurant	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['town', 'at hotel', 'mall', 'business sector', 'yellow pages'],
      dtype=object)}"	D
1a7f5b3c65364d9be002576660c914fe	Where do you put your grapes just before checking out?	grape	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['mouth', 'grocery cart', 'super market', 'fruit basket',
       'fruit market'], dtype=object)}"	B
dac769116ed064bc70936c15eb822c3e	Before getting a divorce, what did the wife feel who was doing all the work?	getting divorce	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['harder', 'anguish', 'bitterness', 'tears', 'sadness'],
      dtype=object)}"	C
f5c9664c9930b704f2724fbd617bee9d	Johnny sat on a bench and relaxed after doing a lot of work on his hobby.  Where is he?	bench	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['state park', 'bus depot', 'garden', 'gym', 'rest area'],
      dtype=object)}"	C
b63b9809c203321d6659ddf8551894bf	James was cooling off two quickly.  He would die if he didn't find some way to stop what?	cooling off	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['loss of heat', 'revenge', 'expansion', 'relaxation', 'calm down'],
      dtype=object)}"	A
527e72eb38950b8031ee6217ef531960	Of all the rooms in a house it was his favorite, the aromas always drew him to the what?	house	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['yard', 'basement', 'kitchen', 'living room', 'garden'],
      dtype=object)}"	C
e6766a66f8d326bf00fbf628a0e4ef24	Bill is stuck in marsh when a man comes up to him peaking Cajun, where is he?	marsh	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['low lands', 'new york', 'forest', 'louisiana', 'everglades'],
      dtype=object)}"	D
a76403b4921a9281b6ee2a7241a5ec9f	What is it called when you slowly cook using a grill?	grill	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['backyard', 'restaurant', 'crockpot', ""neighbor's house"",
       'barbeque'], dtype=object)}"	E
ad96098698b8378b2e79c6424920ffbd	What type of person typically contracts illness?	illness	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['hospital', 'head', 'sick person', 'elderly person',
       ""doctor's office""], dtype=object)}"	D
6d4ed2c485187ed79ff3bdcc8cca6132	Where would you expect to find a pizzeria while shopping?	pizzeria	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['chicago', 'street', 'little italy', 'food court',
       'capital cities'], dtype=object)}"	D
a40f5339ee858a0a119cbac052c5a2d0	When eating everything on the tasting menu, what does one tend to feel?	eating	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['full stomach', 'getting full', 'gaining weight', 'sick',
       'satisfaction'], dtype=object)}"	B
4850bf8b6b309548ef623d5592ffbca2	What does playing soccer for a long time lead to?	playing soccer	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['excitement', 'fatigue', 'anger', 'hurting', 'getting tired'],
      dtype=object)}"	E
e6d99b4b76f74961a400ad0001b13b73	Which entrance would you use if you do not want to use the back entrance?	back	{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['side', 'main', 'anterior', 'current', 'front'], dtype=object)}	B
f5950a62f9eaae34f1e914b3cf5208cf	You can share files with someone if you have a connection to a what?	connection	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['freeway', 'radio', 'wires', 'computer network',
       'electrical circuit'], dtype=object)}"	D
f36489668c28b26c0cdbc56cec1db27b	The accelerator was controller via a hand throttle, and the foot pedals controlled the steering in the small what?	accelerator	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['car', 'fuel system', 'accelerate', 'boat', 'airplane'],
      dtype=object)}"	E
0476192858e7f541611b5c2d3c5e5197	Sean was lying about the body, but he was very scared.  He constantly worried about what?	lying	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['the reward money', 'hurt feelings', 'being found out', 'problems',
       'trouble'], dtype=object)}"	C
df7861813910ae204c3bd0b3c16fe5d9	The drug kingpin told his man to run errands, this was code to go to all the dealers to do what they had?	run errands	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['park', 'make time for', 'receive instructions', 'take money',
       'leave work'], dtype=object)}"	D
c12a904025471139df4f8860cc380c60	Though he could've kept going his body appreciated the rest, it had been constantly what during the day?	rest	{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['walk', 'lay down', 'working', 'moving', 'exercise'], dtype=object)}	D
a69bd1bf3c06a233d696a00d71a9db36	Too many people want exotic snakes.  The demand is driving what to carry them?	snake	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ditch', 'shop', 'north america', 'pet shops', 'outdoors'],
      dtype=object)}"	D
84e983f432647531b55b8b72c12fb78a	Joe suffered many consequences from stabbing a stranger to death.   Among them, the family of the victim did something to him. What was that?	stabbing to death	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['knife wounds', 'buy a gun', 'bleeding', 'jail time', 'law suit'],
      dtype=object)}"	E
68f123f22be7bff13875e8b752b2d933	To prevent any glare during the big football game he made sure to clean the dust of his what?	dust	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['television', 'attic', 'corner',
       'they cannot clean corner and library during football match they cannot need that',
       'ground'], dtype=object)}"	A
c9580b132b323906f0d51e7dc5b4ce29	I have something in my head I want to share, what ways can I do that?	express information	"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['write an essay', 'organize thoughts', 'speak information',
       'summarize main points', 'have information'], dtype=object)}"	C
